Qty,Booking Agent,Receipt,Loading Port,Vessel/Voyage,Vessel Name,Pack,Teus,Container,Booking Reference,BL Number,Next POD,Discharge Port,Delivery,Discharge Instructions,Gross Wgt,Bkg Pty Name,Quote Ref/US SVC,Decider Fullname,Hazardous,Reefer Flag,OOG Flag,Original Reference,Transhipment Port,Current,Verified Gross Mass
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
2,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296093,,ESVLC,MQFDF,,,15900,HONG KONG GREE ELECTRIC APPL SALES,QPAR052892,SIFA TRANSIT,N,N,N,KITTY,ESVLC,CNNSA,,
2,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296093,,ESVLC,MQFDF,,,15900,HONG KONG GREE ELECTRIC APPL SALES,QPAR052892,SIFA TRANSIT,N,N,N,KITTY,ESVLC,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
15,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296149,,MTMLA,LYKHO,,,4833.33,UNITED OCEAN INTL LOGISTICS ZSN CO,QUSH004395,TCL HOME APPLIANCE(HK) CO LTD,N,N,N,EUNICE  NO RATE,MTMLA,CNNSA,,
1,ZSN,CNJMN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,UNASSIGNED,ZSN0296154,,FRFOS,FRFOS,,,3400,MORRISON EXPRESS GUANGDONG CO LTD,QLYS018002,FATTON TRANSPORTS,N,N,N,KITTY 30-APR,,CNNSA,,
1,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296196,,SGSIN,SYLTK,,,19136,ZHONGSHAN VANWELL LOGISTICS CO LTD,FL4119-MBW-A-002,SZ VANWELL INTL LOG CO LTD,N,N,N,KITTY,SGSIN,CNNSA,,
1,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,45HC,2,UNASSIGNED,ZSN0296367,,MTMLA,HRPLE,,,12700,KUEHNE + NAGEL LTD,IF001-MBW-13-001,KUEHNE + NAGEL INTERNATIONAL AG,N,N,N,KITTY SP,MTMLA,CNNSA,,
1,ZSN,,CNYTN,0ME39W1MA,CMA CGM CASSIOPEIA,40ST,2,UNASSIGNED,ZSN0293334,,ESBCN,ESBCN,,,13700,KUEHNE + NAGEL LTD,IF001-MBW-13-018,KUEHNE + NAGEL INTERNATIONAL AG,N,N,N,KITTY,,CNYTN,,
2,ZSN,CNJMN,CNYTN,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294761,,ESBCN,DZMOS,,,18900,HUNICORN SHIPPING CO LTD,QSHZ027719,HUNICORN SHIPPING CO LTD,N,N,N,EUNICE 14-APR,ESBCN,CNYTN,,
2,ZSN,CNJMN,CNYTN,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294761,,ESBCN,DZMOS,,,18900,HUNICORN SHIPPING CO LTD,QSHZ027719,HUNICORN SHIPPING CO LTD,N,N,N,EUNICE 14-APR,ESBCN,CNYTN,,
