Qty,Booking Agent,Receipt,Loading Port,Vessel/Voyage,Vessel Name,Pack,Teus,Container,Booking Reference,BL Number,Next POD,Discharge Port,Delivery,Discharge Instructions,Gross Wgt,Bkg Pty Name,Quote Ref/US SVC,Decider Fullname,Hazardous,Reefer Flag,OOG Flag,Original Reference,Transhipment Port,Current,Verified Gross Mass
10,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294918,,MTMLA,LYMRA,,,14900,BEST INTL SHIPPING AGENCY CO,QUSH004428,BEST INTL SHIPPING AGENCY CO,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294918,,MTMLA,LYMRA,,,14900,BEST INTL SHIPPING AGENCY CO,QUSH004428,BEST INTL SHIPPING AGENCY CO,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294918,,MTMLA,LYMRA,,,14900,BEST INTL SHIPPING AGENCY CO,QUSH004428,BEST INTL SHIPPING AGENCY CO,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294918,,MTMLA,LYMRA,,,14900,BEST INTL SHIPPING AGENCY CO,QUSH004428,BEST INTL SHIPPING AGENCY CO,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294918,,MTMLA,LYMRA,,,14900,BEST INTL SHIPPING AGENCY CO,QUSH004428,BEST INTL SHIPPING AGENCY CO,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0294918,,MTMLA,LYMRA,,,14900,BEST INTL SHIPPING AGENCY CO,QUSH004428,BEST INTL SHIPPING AGENCY CO,N,N,N,EUNICE,MTMLA,CNNSA,,
3,ZSN,CNJMN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,TGHU1259400,ZSN0294921,,MTMLA,DZALG,,DZALS,29200,CHINATRANS INTL LIMITED,QZSN005387,CHINATRANS INT LTD,N,N,N,EUNICE 14-APR,MTMLA,CNNSA,29955,
3,ZSN,CNJMN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,CMAU0166995,ZSN0294921,,MTMLA,DZALG,,DZALS,29200,CHINATRANS INTL LIMITED,QZSN005387,CHINATRANS INT LTD,N,N,N,EUNICE 14-APR,MTMLA,CNNSA,30348,
3,ZSN,CNJMN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,CMAU0872203,ZSN0294921,,MTMLA,DZALG,,DZALS,29200,CHINATRANS INTL LIMITED,QZSN005387,CHINATRANS INT LTD,N,N,N,EUNICE 14-APR,MTMLA,CNNSA,29700,
6,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295058,,MTMLA,LYMRA,,,6400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
